time;ZZ_med;ZZ_sigma;ZZ_pts;RR_med;RR_sigma;RR_pts;TT_med;TT_sigma;TT_pts
2010-12-19;-0.0259209711626;-0.0396241293807;104;-0.0287193138879;-0.0421034384688;118;-0.00748067984937;-0.0362174879166;118
2010-12-20;-0.0194685099347;-0.0446813059947;104;-0.03298804671;-0.0440086617276;118;-0.0138231636841;-0.0363122921557;118
2010-12-21;-0.0123694631787;-0.038415707285;104;-0.0327555452185;-0.0460997153022;118;-0.0107972617945;-0.0373895160856;118
2010-12-22;-0.0143332199235;-0.0437569942836;104;-0.0336973856675;-0.0404881223611;118;-0.0102137653888;-0.0346634001171;118
2010-12-23;-0.0152117731008;-0.0385131189743;104;-0.0392158392104;-0.0436001421845;118;-0.0141308723383;-0.0345557154635;118
2010-12-24;-0.00855988518322;-0.0371479972683;104;-0.0313981023457;-0.046150315622;118;-0.0126437877612;-0.0330502051416;118
2010-12-25;-0.0149280986139;-0.0402577340728;104;-0.0391270459378;-0.0478406102675;118;-0.0139403134887;-0.0332516908919;118
2010-12-26;-0.0167785983759;-0.0448900465266;104;-0.0381871209059;-0.0441946500677;118;-0.0159647902559;-0.0340622173712;118
2010-12-27;-0.0192187172962;-0.0424604343672;104;-0.0344779548866;-0.0516329030956;118;-0.00336033528606;-0.0373639129237;118
2010-12-28;-0.0203874628375;-0.0447836970699;104;-0.0377919844602;-0.0498905669477;118;-0.00605828340737;-0.0291564739635;118
2010-12-29;-0.0224642879873;-0.0551598083133;104;-0.039258571702;-0.0529924023398;118;-0.00949653533504;-0.0369710844703;118
2010-12-30;-0.0261363462624;-0.0485345819618;104;-0.0411307662533;-0.0527598804312;118;-0.0102954761256;-0.036672632243;118
2010-12-31;-0.0253059503578;-0.0501680118437;104;-0.0413423203617;-0.0518025526027;118;-0.0121000863986;-0.0361753629917;118
2011-01-01;-0.0249124386724;-0.0423195746944;104;-0.0388607338187;-0.0482490962763;118;-0.011332082427;-0.0360483071623;118
2011-01-02;-0.0263444830015;-0.0409716609122;104;-0.0471363657486;-0.0530620709302;118;-0.0119944419579;-0.0364896449301;118
2011-01-03;-0.02500432625;-0.0415436800756;104;-0.0547557191608;-0.0441771082478;118;-0.0138623916194;-0.0315211211048;118
2011-01-04;-0.0250842687655;-0.0449922592949;104;-0.0512439449864;-0.042496965126;118;-0.010789104873;-0.0299734648093;118
2011-01-05;-0.0294429887943;-0.0440856248314;104;-0.0425359568489;-0.0441892404364;118;-0.0113523118932;-0.0345299933695;118
2011-01-06;-0.0298839109323;-0.0458676524949;104;-0.0475503802835;-0.0437954800097;118;-0.015843829494;-0.0368905887747;118
2011-01-07;-0.0293689458081;-0.0373349427229;104;-0.0466899455404;-0.0430403281661;118;-0.0180623898069;-0.0345212419153;118
2011-01-08;-0.0309333293817;-0.0429104742076;104;-0.0460555163671;-0.043002740934;118;-0.0174289960958;-0.0367852115546;118
2011-01-09;-0.0327342736372;-0.0500292574327;104;-0.0490143281222;-0.0496795069046;118;-0.0198280292329;-0.0367126584261;118
2011-01-10;-0.0258062515155;-0.0506593368006;104;-0.0494290065217;-0.0475167144032;118;-0.0216528459552;-0.0371647004642;118
2011-01-11;-0.0265429239403;-0.0525463422181;104;-0.047579924713;-0.0450785474625;118;-0.0193090051117;-0.0390044012927;118
